,State,MSE,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,FIPS Code,Change,State Code
0,Alabama,4.346146723,9.409434318999999,9.417471886,9.456915855,9.475317001,9.467121124,9.448822975,1,0.039388657,AL
1,Alaska,2.034975954,8.80697155,8.837940216,8.849095345,8.851330757000001,8.84650135,8.836964607,2,0.029993057000000004,AK
2,Arizona,1.720206111,10.30860138,9.855669022,9.354225159,8.877562523,8.463920593,8.122738838,4,-2.185862541,AZ
3,Arkansas,1.6026054840000001,7.819912434,7.698514462,7.593137264,7.510890007,7.450092316,7.401893616000001,5,-0.41801881799999996,AR
4,California,4.810278355,7.852421284,8.317771912000001,8.597089767,8.712965012,8.712328911,8.642012596,6,0.789591312,CA
5,Colorado,2.3079323919999997,6.412888527000001,6.402398586,6.368692875,6.318026066,6.261919022000001,6.2115635870000006,8,-0.20132494,CO
6,Connecticut,2.689480006,6.8644838329999995,6.7435646060000005,6.666714667999999,6.60366106,6.546451092000001,6.49400568,9,-0.370478153,CT
7,Delaware,3.3891089780000003,6.822898388,6.852336407,6.849674225,6.809372425,6.740660191,6.65750885,10,-0.165389538,DE
8,Florida,3.014351935,7.986349582999999,7.886280537,7.791058064,7.67523241,7.544950485,7.413891792,12,-0.57245779,FL
9,Georgia,1.7215688530000002,6.885091782000001,7.113212585,7.21145916,7.219677448,7.179671764,7.120280266,13,0.23518848399999998,GA
10,Hawaii,9.923337032000001,7.6014814379999995,7.595016003,7.555706501,7.5080146789999995,7.458435535,7.404889584,15,-0.19659185399999998,HI
11,Idaho,2.311399728,6.270957947,6.3568277360000005,6.401893616000001,6.4045443529999995,6.379616737,6.3419141770000005,16,0.07095623,ID
12,Illinois,3.8297917060000004,9.569766997999999,8.843384743,8.212325096,7.705377578999999,7.318173885,7.0305924420000006,17,-2.539174557,IL
13,Indiana,3.109997931,6.814630508,6.648916721,6.542189121,6.468330383,6.416795731000001,6.3835382460000005,18,-0.431092262,IN
14,Iowa,1.6927784209999999,5.411499500000001,4.963170052,4.6716818810000005,4.476558685,4.3399949069999995,4.244737625,19,-1.166761875,IA
15,Kansas,1.350329701,5.220211506,5.034428596000001,4.847841263,4.6961331369999995,4.5862813,4.51117754,20,-0.7090339659999999,KS
16,Kentucky,2.223437413,7.711998463,7.322529792999999,6.953628062999999,6.6598792079999996,6.447838306,6.302134514,21,-1.409863949,KY
17,Louisiana,2.536972359,8.367423058,8.325843811,8.227414131,8.114070892,8.007521629,7.915340424,22,-0.452082634,LA
18,Maine,1.902190695,7.103804587999999,7.21464777,7.273922442999999,7.28573513,7.263107777,7.2184252739999994,23,0.114620686,ME
19,Maryland,1.076377637,5.958399772999999,6.041478157,6.0806169510000005,6.097595215,6.1037597660000005,6.10281086,24,0.144411087,MD
20,Massachusetts,6.048659695,7.4518952370000004,7.408772945,7.314258099,7.18692255,7.0478329660000005,6.916081429,25,-0.535813808,MA
21,Michigan,9.395960912,8.258518218999999,8.39691925,8.548299789,8.683135033,8.788598061,8.860113144,26,0.601594925,MI
22,Minnesota,2.080017706,6.134833336,5.961140156,5.736928463,5.52713871,5.355933666,5.2232527730000005,27,-0.911580563,MN
23,Mississippi,1.8584922240000001,8.646203041,8.442872047,8.239862442,8.045608521,7.869468689,7.7138676639999995,28,-0.932335377,MS
24,Missouri,2.0079842180000003,7.665670395,7.158290386,6.779523373,6.516717911000001,6.346400738,6.237980366,29,-1.427690029,MO
25,Montana,1.198036436,6.535489559,6.429749489,6.380861759,6.353265762,6.326412678,6.295065403,30,-0.24042415600000003,MT
26,Nebraska,0.540211696,4.525720596,4.325125217,4.157081604,4.024634838,3.922688007,3.8444452289999997,31,-0.681275368,NE
27,Nevada,13.12908776,8.066609383,7.894149303,7.674937725,7.450005531,7.247987747000001,7.07785368,32,-0.9887557029999999,NV
28,New Hampshire,4.266250956,6.23640728,6.015884399,5.795749187,5.587837696,5.4033412929999995,5.2474107739999996,33,-0.9889965059999999,NH
29,New Jersey,4.463321207,7.76570034,7.987428187999999,8.09147644,8.121154785,8.108297347999999,8.07487011,34,0.309169769,NJ
30,New Mexico,1.6417334119999998,7.918349266,8.0427742,8.012091637000001,7.911789894,7.784285545,7.648413658,35,-0.269935608,NM
31,New York,4.45496599,8.489266396,8.243430137999999,7.996172905,7.768547535,7.572248459,7.404891491,36,-1.084374905,NY
32,North Carolina,2.1880516930000002,7.364688396,7.226956844,7.005451202000001,6.780457973,6.590495586,6.442873477999999,37,-0.921814919,NC
33,North Dakota,1.858982474,4.975402355,4.78252697,4.623558998,4.500720978,4.41023922,4.34431839,38,-0.631083965,ND
34,Ohio,4.68071713,9.389672279,8.884135246,8.480689049,8.189310074,7.994835377,7.870785236000001,39,-1.518887043,OH
35,Oklahoma,3.1870905389999997,6.194973946,5.876839161,5.564124584,5.30116272,5.093783379,4.932685375,40,-1.26228857,OK
36,Oregon,3.5095176689999996,7.912241936,7.764038086,7.645483494,7.556187153,7.490983963,7.443346977000001,41,-0.468894958,OR
37,Pennsylvania,3.814191127,8.833888053999999,8.601237297,8.381966591,8.184090614,8.015276908999999,7.8771915439999995,42,-0.95669651,PA
38,Rhode Island,5.188188529,8.63582325,8.195293427000001,7.905755997000001,7.718989849,7.602206707000001,7.531041145,44,-1.104782104,RI
39,South Carolina,2.59388783,9.383010864,8.9949646,8.599805832000001,8.243080139,7.941838263999999,7.693050385,45,-1.68996048,SC
40,South Dakota,1.20675821,3.9663178919999997,3.857285023,3.774919033,3.7113366130000003,3.658689499,3.613857269,46,-0.352460623,SD
41,Tennessee,2.884239913,7.670001507,7.437761784,7.344314098,7.3267083170000005,7.342376232,7.372694492000001,47,-0.297307014,TN
42,Texas,2.413517599,6.0870099070000006,6.039551735,5.996281624,5.950946331,5.907360077000001,5.870524883,48,-0.216485023,TX
43,Utah,1.4618239919999998,7.106016159,6.7562303539999995,6.433970451,6.182162762000001,6.005242825,5.888076782000001,49,-1.217939377,UT
44,Vermont,4.444288281,7.320072174,7.0275821689999995,6.7545142170000005,6.520039558,6.327023982999999,6.169105052999999,50,-1.1509671209999999,VT
45,Virginia,1.610198385,5.945113182,5.85532093,5.707990646,5.54124403,5.385241507999999,5.250893593,51,-0.694219589,VA
46,Washington,2.982763812,9.259526252999999,8.916685103999999,8.631775856,8.398060799,8.206159592,8.049005507999999,53,-1.210520744,WA
47,West Virginia,11.20013116,9.96259594,9.761075974,9.510848045,9.269595146,9.050972939,8.849816322,54,-1.112779617,WV
48,Wisconsin,3.42679192,7.330055713999999,7.318353653,7.203473568,7.0393552779999995,6.861829281,6.6923322679999995,55,-0.637723446,WI
49,Wyoming,2.1236887269999998,5.9973530770000005,5.894171715,5.765420437,5.638568877999999,5.523916245,5.42603159,56,-0.5713214870000001,WY
